"model","user_id","first_bid_date","next_bid_date","first_bid_price","next_bid_price"
"Toyota Yaris",4,"2023-10-01","2023-12-04","220000000.00","140000000.00"
"Toyota Yaris",4,"2023-10-01","2024-01-30","220000000.00","215000000.00"
"Toyota Yaris",4,"2023-10-01","2024-02-29","220000000.00","180000000.00"
"Toyota Yaris",4,"2023-10-01","2024-03-28","220000000.00","150000000.00"
"Toyota Yaris",5,"2023-12-04","2024-03-28","140000000.00","150000000.00"
"Toyota Yaris",5,"2023-12-04","2024-01-30","140000000.00","215000000.00"
"Toyota Yaris",5,"2023-12-04","2024-02-29","140000000.00","180000000.00"
"Toyota Yaris",3,"2024-01-30","2024-02-29","215000000.00","180000000.00"
"Toyota Yaris",3,"2024-01-30","2024-03-28","215000000.00","150000000.00"
"Toyota Yaris",2,"2024-02-29","2024-03-28","180000000.00","150000000.00"
